1  2  3  2.6
1  3  5  4.1
1  2  3.5  3.7
1  2  3.25  3.1
1  3.5  3.5  4
1  2.25  4.25  3.94
1  4.75  5  4.7
0  3  4  3.62
1  3.5  5  4.1
1  2  3  3.44
0  2  3  3.32
1  3  3  3.77
1  2  3.5  2.8
1  2  3.75  3.27
1  3.5  4  3.57
1  2.25  4  3.88
1  3  4.25  3.61
1  3  4.75  3.2
1  3  3  3.36
1  2  3  3
1  2  4  3.07
1  3.25  5  4.23
1  2  2.5  2.7
1  3.5  2  3.85
1  2.5  4  3.61
1  2.25  4  3.81
1  3.25  5  4.6
1  2.5  5  4.1
0  2.25  4.5  3.8
1  2  3.25  3.31
0  2.5  3  3.5
1  2.75  5  3.4
1  2  2  2.2
0  2  3  2.46
1  3.25  5  4.2
1  2  3.25  3.11
1  2.5  3  3.4
1  2  2.5  3
1  2.75  4.5  3.6
0  2  4  3.32
1  2  2  2.18
0  2  3.5  2.3
1  3  3.25  3.61
1  2  4  3.14
0  3.5  5  3
0  2  3.25  2.37
1  2  4.5  3.1
1  4  5  4.11
1  2.75  5  2.83
1  5  5  5
0  3  5  3.8
1  2  2.25  2.4
1  2.25  3.5  3.8
1  2  2.75  3.75
1  2  4  2.91
1  3  3  3.56
1  3.5  5  3.7
1  2.25  3  3.13
1  2.25  5  3.52
0  3  4.75  3.43
1  2.25  2  2.42
0  2.75  2.75  3.17
0  2  4.25  3.2
0  2  5  4
1  4.25  4.75  3.74
1  3  3.5  3.32
1  3.25  3.75  3.62
1  4.5  4  4.73
1  2.25  4  3.88
1  2  3  2.79
1  2.5  5  3.7
0  5  4.75  4.86
1  2  4  3.13
0  4.25  5  4
1  2  2.75  3.13
1  2  3.25  2.82
1  3  4  4.33
0  3.5  4.75  4.72
1  3.25  5  3.9
1  4.25  5  4.46
0  3  3.75  3.86
1  3.75  4.75  4.52
1  2  5  3.83
0  2  3  3.11
1  2  2  3.42
1  2.5  4.74  3.2
0  3  5  3.8
1  3.5  4  3.8
1  3  3.75  4.08
1  2  3  3.34
1  2.25  2.75  3.68
0  2.25  3  4.1
1  3  4  3.41
1  2.75  4.25  3.89
1  3.5  5  4.6
1  2  2.5  3.1
1  3  5  4.11
0  2.25  3.5  3.4
0  4  4  3.75
0  2.5  4  3.6
1  3  4  3.7
0  4  4  4.2
0  2.5  4.25  3.81
1  2  2.75  2.22
0  2.25  4  3.98
1  3  3  3.44
0  3  5  4
1  3  4  3.75
1  2.5  3.75  3.37
1  2  3.25  3.26
0  4  4.5  3.6
1  2  4  3.3
1  2.5  3.5  3.4
1  2  3.25  2.8
1  3  4  3.29
0  2.5  4.5  3.11
1  3.25  4  4.2
1  3.5  3  4.62
0  2.25  5  3.4
1  2  3.5  3.9
1  2  2  2.39
0  2.5  4.25  3.5
1  2.75  3.5  4.1
1  2  4.25  3.42
1  4  5  4.22
1  4  4.75  4.11
1  4.25  5  4.77
1  2.5  2  3.45
1  2.75  4.75  3.5
0  2  2  3.4
1  2.5  3.5  3.71
1  3.75  4.75  3.91
1  2.75  5  3.5
1  2  2  2.8
1  3.5  4.75  4.54
1  4  4.5  4.4
1  4.75  4  4.71
1  3.5  4.75  4.41
1  4  5  4.71
1  2  4  3.61
0  2.5  4.5  3.6
1  2.75  5  3
0  2  4  3.32
1  2.75  3.5  3.24
1  2  3.5  3.41
1  2.5  4  3.6
0  2.75  4  3.6
1  2  3  2.93
1  4.5  5  4.31
1  3.25  3  3.86
1  2.5  4  3.65
1  2.25  4  3.1
0  2  4.25  2.84
1  2.25  5  3.5
1  4  4.25  4.6
0  2  3.75  3.11
1  2  3.25  3.41
1  4  4  4.11
0  3.5  5  4.18
1  2  5  3.6
0  2.5  4  3.2
